0x00e19c78;え
0x00e19c94;進む
0x00e19cb8;<Sign:D>進む
0x00e19cd0;<Sign:C>戻る
0x00e19ce8;<Sign:D>決定 <Sign:C>戻る
0x00e19d10;円
0x00e19d20;文
0x00e19d30;両
0x00e19d40;万
0x00e19d50;億
0x00e19d5c;点
0x00e19d6c;枚
0x00e19d7c;個
0x00e19d9c;発
0x00e19dbc;所持金
0x00e19dcc;チップ
0x00e19ddc;おひねり
0x00e19df4;持ち点
0x00e19e04;闘玉
0x00e19e14;資金
0x00e19e24;道場資金
0x00e19e3c;所持Ｐ
0x00e19e4c;メダル
0x00e19e5c;持ち玉
0x00e19e6c;獲得Ｐ
0x00e19e7c;タクシーPt
0x00e19e94;%2d 点
0x00e19ea4;位
0x00e19eb0;福引き券
0x00e19ec8;祗園
0x00e19ed0;洛内
0x00e19ed8;洛外
0x00e19ee0;骸街
0x00e19ee8;伏見
0x00e19ef0;土佐
0x00e19f14;ト
0x00e19f20;徳
0x00e19f30;種類
0x00e19f40;回
0x00e19f50;斎藤
0x00e19f60;龍馬
0x00e19f70;遥
0x00e19f7c;斎藤一
0x00e19f8c;坂本龍馬
0x00e19fa4;澤村遥
0x00e19fb4;さいとう
0x00e19fd8;か
0x00e19fe0;サイトウ
0x00e1a004;カ
0x00e1a030;りく
0x00e1a040;かぐや
0x00e1a050;ほのか
0x00e1a060;詩音
0x00e1a070;桜咲ひなた
0x00e1a088;ひなた
0x00e1a098;杏南
0x00e1a0a8;いぬ
0x00e1a0b0;ねこ
0x00e1a0b8;マメ
0x00e1a0c0;ホエ太
0x00e1a0c8;ナオタロウ
0x00e1a0d8;だいきち
0x00e1a0e8;まぐろ
0x00e1a0f0;おちょこ
0x00e1a124;使える物は持っていない。
0x00e1a14c;何を使おうか。
0x00e1a164;本当に使っていいですか？
0x00e1a18c;賭け点
0x00e1a194;配当点
0x00e1a1ac;入金
0x00e1a1c0;よろしく
0x00e1a1d0;お手柔らかに
0x00e1a1e0;勝ちにいくぜ！
0x00e1a1f0;いきなりワンペア！
0x00e1a208;また会ったな
0x00e1a218;はじめまして
0x00e1a228;いい札が来ますように…
