0x00e19cf8;え
0x00e19d14;進む
0x00e19d38;<Sign:D>進む
0x00e19d50;<Sign:C>戻る
0x00e19d68;<Sign:D>決定 <Sign:C>戻る
0x00e19d90;円
0x00e19da0;文
0x00e19db0;両
0x00e19dc0;万
0x00e19dd0;億
0x00e19ddc;点
0x00e19dec;枚
0x00e19dfc;個
0x00e19e0c;Ｐ
0x00e19e1c;発
0x00e19e2c;Pt
0x00e19e3c;所持金
0x00e19e4c;チップ
0x00e19e5c;おひねり
0x00e19e74;持ち点
0x00e19e84;闘玉
0x00e19e94;資金
0x00e19ea4;道場資金
0x00e19ebc;所持Ｐ
0x00e19ecc;メダル
0x00e19edc;持ち玉
0x00e19eec;獲得Ｐ
0x00e19efc;タクシーPt
0x00e19f14;%2d 点
0x00e19f24;位
0x00e19f30;福引き券
0x00e19f48;祗園
0x00e19f50;洛内
0x00e19f58;洛外
0x00e19f60;骸街
0x00e19f68;伏見
0x00e19f70;土佐
0x00e19f94;ト
0x00e19fa0;徳
0x00e19fb0;種類
0x00e19fc0;回
0x00e19fd0;斎藤
0x00e19fe0;龍馬
0x00e19ff0;遥
0x00e19ffc;斎藤一
0x00e1a00c;坂本龍馬
0x00e1a024;澤村遥
0x00e1a034;さいとう
0x00e1a058;か
0x00e1a060;サイトウ
0x00e1a084;カ
0x00e1a0b0;りく
0x00e1a0c0;かぐや
0x00e1a0d0;ほのか
0x00e1a0e0;詩音
0x00e1a0f0;桜咲ひなた
0x00e1a108;ひなた
0x00e1a118;杏南
0x00e1a128;いぬ
0x00e1a130;ねこ
0x00e1a138;マメ
0x00e1a140;ホエ太
0x00e1a148;ナオタロウ
0x00e1a158;だいきち
0x00e1a168;まぐろ
0x00e1a170;おちょこ
0x00e1a1a4;使える物は持っていない。
0x00e1a1cc;何を使おうか。
0x00e1a1e4;本当に使っていいですか？
0x00e1a20c;賭け点
0x00e1a214;配当点
0x00e1a22c;入金
0x00e1a240;よろしく
0x00e1a250;お手柔らかに
0x00e1a260;勝ちにいくぜ！
